posteam,week,defteam,o_epa,n,d_adj,per_play_eff,total_performance
ARI,1,SF,-0.021820511,80,-0.058991649,0.037171138,2.973691004
ARI,2,WAS,0.003118325,75,-0.058464305,0.06158263,4.618697248
ARI,3,DET,0.065668467,66,0.137050219,-0.071381752,-4.711195622
ARI,4,CAR,-0.050501127,51,0.03262007,-0.083121197,-4.239181046
ARI,5,NYJ,0.175284439,67,0.053746563,0.121537876,8.14303768
ARI,6,DAL,0.151874561,45,0.076061222,0.075813339,3.411600263
ARI,7,SEA,0.073980625,81,-0.013622996,0.087603621,7.095893263
ARI,9,MIA,0.162446353,72,-0.024229528,0.186675881,13.44066342
ARI,10,BUF,0.049508583,75,-0.007170709,0.056679292,4.25094691
ARI,11,SEA,0.003218866,71,-0.009883598,0.013102464,0.930274933
ARI,12,NE,-0.081311568,76,0.071876609,-0.153188177,-11.64230148
ARI,13,LA,-0.16112864,55,-0.134326607,-0.026802033,-1.474111809
ARI,14,NYG,-0.008786228,72,0.018908227,-0.027694455,-1.994000747
ARI,15,PHI,-0.034653182,71,-0.002027142,-0.03262604,-2.316448832
ARI,16,SF,-0.192020594,86,-0.037752717,-0.154267877,-13.2670374
ARI,17,LA,-0.274735051,49,-0.128273555,-0.146461496,-7.176613327
ATL,1,SEA,-0.089512784,68,-0.001558443,-0.08795434,-5.980895154
ATL,2,DAL,-0.022274026,77,0.085704373,-0.107978399,-8.314336722
ATL,3,CHI,-0.096553988,66,-0.051926046,-0.044627942,-2.945444178
ATL,4,GB,-0.054929617,63,-0.023526081,-0.031403537,-1.978422818
ATL,5,CAR,-0.03643307,64,0.031266134,-0.067699204,-4.332749067
ATL,6,MIN,0.082147987,61,0.005080621,0.077067367,4.701109366
ATL,7,DET,0.025030708,78,0.139961746,-0.114931038,-8.964620967
ATL,8,CAR,0.157918881,69,0.017493446,0.140425435,9.689355016
ATL,9,DEN,0.071891738,62,-0.07039998,0.142291718,8.822086539
ATL,11,NO,-0.323320816,60,-0.098607742,-0.224713075,-13.48278448
ATL,12,LV,-0.1751051,57,0.059822976,-0.234928076,-13.39090032
ATL,13,NO,-0.18880684,65,-0.106084111,-0.082722729,-5.376977408
ATL,14,LAC,0.042348182,56,-0.027111927,0.069460109,3.889766123
ATL,15,TB,-0.042588879,68,-0.047327331,0.004738452,0.322214765
ATL,16,KC,0.016499686,69,-0.001307187,0.017806873,1.228674216
ATL,17,TB,0.151712173,68,-0.062229606,0.213941779,14.54804095
BAL,1,CLE,0.379225933,42,0.062187867,0.317038066,13.31559878
BAL,2,HOU,0.083958423,57,0.08515142,-0.001192997,-0.068000854
BAL,3,KC,-0.166739037,56,0.009588886,-0.176327924,-9.87436372
BAL,4,WAS,0.143506158,44,-0.055093085,0.198599243,8.738366699
BAL,5,CIN,-0.068399637,60,0.06220841,-0.130608048,-7.836482856
BAL,6,PHI,-0.087457435,74,0.009617823,-0.097075257,-7.183569039
BAL,8,PIT,-0.025513621,82,-0.104550029,0.079036409,6.480985517
BAL,9,IND,-0.024821794,62,-0.028390068,0.003568274,0.221232972
BAL,10,NE,-0.042555111,67,0.070525462,-0.113080573,-7.576398386
BAL,11,TEN,-0.048426681,66,0.060236703,-0.108663384,-7.171783341
BAL,12,PIT,-0.28997289,53,-0.090411318,-0.199561573,-10.57676336
BAL,13,DAL,0.16328048,56,0.07826529,0.08501519,4.760850635
BAL,14,CLE,0.279370676,60,0.059179572,0.220191104,13.21146625
BAL,15,JAX,0.347968814,45,0.085909016,0.262059798,11.79269091
BAL,16,NYG,0.194570005,64,0.004828431,0.189741574,12.14346073
BAL,17,CIN,0.292322725,60,0.037172374,0.255150351,15.30902107
BAL,18,TEN,0.085259447,65,0.05688887,0.028370578,1.844087542
BAL,19,BUF,-0.181801511,76,0.011472232,-0.193273742,-14.6888044
BUF,1,NYJ,0.070715399,77,0.063606316,0.007109083,0.547399424
BUF,2,MIA,0.33462176,60,-0.028747266,0.363369026,21.80214156
BUF,3,LA,0.178365323,63,-0.151109691,0.329475014,20.75692588
BUF,4,LV,0.06105668,58,0.052372889,0.008683791,0.503659885
BUF,5,TEN,0.043013575,68,0.058432762,-0.015419187,-1.048504711
BUF,6,KC,-0.115200988,54,0.009086652,-0.12428764,-6.711532552
BUF,7,NYJ,0.035676212,73,0.069232029,-0.033555817,-2.449574606
BUF,8,NE,0.121851869,57,0.059947635,0.061904235,3.528541375
BUF,9,SEA,0.133020361,62,-0.010230042,0.143250403,8.881525014
BUF,10,ARI,-0.057406709,75,0.005937337,-0.063344047,-4.750803508
BUF,12,LAC,0.009511719,59,-0.023865561,0.03337728,1.969259535
BUF,13,SF,0.174858937,67,-0.066244165,0.241103102,16.15390783
BUF,14,PIT,-0.075719555,67,-0.099888809,0.024169253,1.619339982
BUF,15,DEN,0.257252117,48,-0.072736541,0.329988658,15.83945559
BUF,16,NE,0.284221425,45,0.053418593,0.230802832,10.38612744
BUF,17,MIA,0.117130728,41,-0.01024534,0.127376068,5.222418779
BUF,18,IND,0.111008885,60,-0.034951289,0.145960174,8.757610438
BUF,19,BAL,-0.105589316,47,-0.053389745,-0.052199571,-2.453379848
BUF,20,KC,-0.105478159,58,0.010360892,-0.11583905,-6.718664917
CAR,1,LV,0.061515856,68,0.050038963,0.011476893,0.780428743
CAR,2,TB,0.037814059,68,-0.054556238,0.092370297,6.281180191
CAR,3,LAC,-0.183066594,53,-0.015516757,-0.167549837,-8.880141376
CAR,4,ARI,0.179253736,68,-0.015170739,0.194424475,13.22086431
CAR,5,ATL,0.126297438,65,-0.00557225,0.131869688,8.571529693
