"posteam","season","week","defteam","time_between_plays","expected_tbp"
"ATL",2019,1,"MIN",40,22.7211725044558
"ATL",2019,1,"MIN",39,28.6195458759125
"MIN",2019,1,"ATL",21,24.7956630186582
"MIN",2019,1,"ATL",35,32.6255487459339
"ATL",2019,1,"MIN",40,31.8826909498469
"ATL",2019,1,"MIN",41,31.7997765987499
"ATL",2019,1,"MIN",21,27.4268533341011
"MIN",2019,1,"ATL",38,31.2577749445054
"MIN",2019,1,"ATL",46,38.5075717237072
"MIN",2019,1,"ATL",3,30.4400506743638
"ATL",2019,1,"MIN",33,29.5355512256642
"ATL",2019,1,"MIN",46,30.3123214472845
"ATL",2019,1,"MIN",15,26.7515044023253
"ATL",2019,1,"MIN",7,27.8088132444855
"ATL",2019,1,"MIN",40,31.154558100623
"ATL",2019,1,"MIN",42,29.3229886882972
"ATL",2019,1,"MIN",36,26.8825404778286
"ATL",2019,1,"MIN",45,36.6974838571364
"ATL",2019,1,"MIN",42,26.8545170559874
"ATL",2019,1,"MIN",23,24.8327810794625
"ATL",2019,1,"MIN",8,23.068226191032
"MIN",2019,1,"ATL",35,32.7799276937301
"MIN",2019,1,"ATL",41,35.619831583755
"MIN",2019,1,"ATL",44,29.9635842838252
"MIN",2019,1,"ATL",29,24.9879431854987
"MIN",2019,1,"ATL",39,22.6825299732014
"MIN",2019,1,"ATL",38,22.6890806184664
"ATL",2019,1,"MIN",30,32.2857151482189
"ATL",2019,1,"MIN",26,34.9161949667961
"ATL",2019,1,"MIN",42,31.4618301473958
"ATL",2019,1,"MIN",18,28.2810583135456
"MIN",2019,1,"ATL",38,30.6787168841699
"MIN",2019,1,"ATL",43,29.3170531448947
"MIN",2019,1,"ATL",37,32.6397242952039
"MIN",2019,1,"ATL",6,28.7645512201332
"MIN",2019,1,"ATL",7,29.8356982643824
"MIN",2019,1,"ATL",42,31.467293935405
"MIN",2019,1,"ATL",6,28.7592684752713
"MIN",2019,1,"ATL",41,34.8801483153091
"MIN",2019,1,"ATL",42,38.3350929386717
"MIN",2019,1,"ATL",41,36.8615338747728
"MIN",2019,1,"ATL",36,30.5235249349628
"ATL",2019,1,"MIN",29,32.3807253050245
"ATL",2019,1,"MIN",32,29.7647769723982
"ATL",2019,1,"MIN",30,34.0626334784513
"ATL",2019,1,"MIN",34,26.2194521187681
"ATL",2019,1,"MIN",4,26.432175926224
"ATL",2019,1,"MIN",31,13.0731786568291
"ATL",2019,1,"MIN",6,7.187396519848
"MIN",2019,1,"ATL",4,15.4047583820103
"MIN",2019,1,"ATL",4,11.9701089902605
"ATL",2019,1,"MIN",4,10.4005080919202
